0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165
69,0,0,46,94,81,64,0,128,6,97,133,17664,0,46,11870,24145,20800,16384,128,32774,1633,24965,4521984,46,11870,3038801,6181184,5324800,4194432,32774,8390241,418181,69,0,0,46,94,83,64,0,128,6,97,131,17664,0,46,11870,24147,21312,16384,128,32774,1633,24963,4521984,46,11870,3038803,6181696,5455872,4194432,32774,8390241,418179,69,0,0,46,94,85,64,0,128,6,97,129,17664,0,46,11870,24149,21824,16384,128,32774,1633,24961,4521984,46,11870,3038805,6182208,5586944,4194432,32774,8390241,418177,69,0,0,46,94,87,64,0,128,6,97,127,17664,0,46,11870,24151,22336,16384,128,32774,1633,24959,4521984,46,11870,3038807,6182720,5718016,4194432,32774,8390241,418175,69,0,0,46,94,90,64,0,128,6,97,124,17664,0,46,11870,24154,23104,16384,128,32774,1633,24956,4521984,46,11870,3038810,6183488,5914624,4194432,32774,8390241,418172,Chat
69,0,0,46,74,89,64,0,128,6,119,250,17664,0,46,11850,19033,22848,16384,128,32774,1655,30714,4521984,46,11850,3033689,4872512,5849088,4194432,32774,8390263,423930,69,0,0,46,74,91,64,0,128,6,119,248,17664,0,46,11850,19035,23360,16384,128,32774,1655,30712,4521984,46,11850,3033691,4873024,5980160,4194432,32774,8390263,423928,69,0,0,46,74,93,64,0,128,6,119,246,17664,0,46,11850,19037,23872,16384,128,32774,1655,30710,4521984,46,11850,3033693,4873536,6111232,4194432,32774,8390263,423926,69,0,0,46,74,95,64,0,128,6,119,244,17664,0,46,11850,19039,24384,16384,128,32774,1655,30708,4521984,46,11850,3033695,4874048,6242304,4194432,32774,8390263,423924,69,0,0,40,74,96,64,0,128,6,119,249,17664,0,40,10314,19040,24640,16384,128,32774,1655,30713,4521984,40,10314,2640480,4874304,6307840,4194432,32774,8390263,423929,Chat
69,0,0,40,251,132,64,0,98,6,228,212,17664,0,40,10491,64388,33856,16384,98,25094,1764,58580,4521984,40,10491,2685828,16483392,8667136,4194402,25094,6424292,451796,69,0,0,40,32,223,64,0,98,6,191,122,17664,0,40,10272,8415,57152,16384,98,25094,1727,49018,4521984,40,10272,2629855,2154304,14630912,4194402,25094,6424255,442234,69,0,0,40,70,89,64,0,98,6,154,0,17664,0,40,10310,18009,22848,16384,98,25094,1690,39424,4521984,40,10310,2639449,4610368,5849088,4194402,25094,6424218,432640,69,0,0,40,110,148,64,0,98,6,113,197,17664,0,40,10350,28308,37952,16384,98,25094,1649,29125,4521984,40,10350,2649748,7246912,9715712,4194402,25094,6424177,422341,69,0,0,255,123,123,64,0,98,6,100,7,17664,0,255,65403,31611,31552,16384,98,25094,1636,25607,4521984,255,65403,16743291,8092480,8077312,4194402,25094,6424164,418823,Chat
69,0,0,40,105,32,64,0,101,6,113,188,17664,0,40,10345,26912,8256,16384,101,25862,1649,29116,4521984,40,10345,2648352,6889536,2113536,4194405,25862,6620785,422332,69,0,0,40,134,71,64,0,101,6,84,149,17664,0,40,10374,34375,18240,16384,101,25862,1620,21653,4521984,40,10374,2655815,8800064,4669440,4194405,25862,6620756,414869,69,0,0,40,163,180,64,0,101,6,55,40,17664,0,40,10403,41908,46144,16384,101,25862,1591,14120,4521984,40,10403,2663348,10728512,11812864,4194405,25862,6620727,407336,69,0,0,40,192,165,64,0,101,6,26,55,17664,0,40,10432,49317,42304,16384,101,25862,1562,6711,4521984,40,10432,2670757,12625216,10829824,4194405,25862,6620698,399927,69,0,0,40,250,205,64,0,101,6,224,14,17664,0,40,10490,64205,52544,16384,101,25862,1760,57358,4521984,40,10490,2685645,16436544,13451264,4194405,25862,6620896,450574,Chat
69,0,1,61,18,126,64,0,103,6,178,3,17664,1,317,15634,4734,32320,16384,103,26374,1714,45571,4521985,317,81170,4002430,1211968,8273920,4194407,26374,6751922,438787,69,0,0,40,27,206,64,0,103,6,169,200,17664,0,40,10267,7118,52800,16384,103,26374,1705,43464,4521984,40,10267,2628558,1822272,13516800,4194407,26374,6751913,436680,69,0,1,45,35,17,64,0,103,6,161,128,17664,1,301,11555,8977,4416,16384,103,26374,1697,41344,4521985,301,77091,2958097,2298176,1130496,4194407,26374,6751905,434560,69,0,0,141,35,22,64,0,103,6,162,27,17664,0,141,36131,8982,5696,16384,103,26374,1698,41499,4521984,141,36131,9249558,2299456,1458176,4194407,26374,6751906,434715,69,0,1,103,35,34,64,0,103,6,161,53,17664,1,359,26403,8994,8768,16384,103,26374,1697,41269,4521985,359,91939,6759202,2302528,2244608,4194407,26374,6751905,434485,Chat
69,0,0,40,58,62,64,0,128,6,114,88,17664,0,40,10298,14910,15936,16384,128,32774,1650,29272,4521984,40,10298,2636350,3817024,4079616,4194432,32774,8390258,422488,69,0,0,141,58,63,64,0,128,6,113,242,17664,0,141,36154,14911,16192,16384,128,32774,1649,29170,4521984,141,36154,9255487,3817280,4145152,4194432,32774,8390257,422386,69,0,0,189,58,64,64,0,128,6,113,193,17664,0,189,48442,14912,16448,16384,128,32774,1649,29121,4521984,189,48442,12401216,3817536,4210688,4194432,32774,8390257,422337,69,0,0,141,58,65,64,0,128,6,113,240,17664,0,141,36154,14913,16704,16384,128,32774,1649,29168,4521984,141,36154,9255489,3817792,4276224,4194432,32774,8390257,422384,69,0,0,40,58,66,64,0,128,6,114,84,17664,0,40,10298,14914,16960,16384,128,32774,1650,29268,4521984,40,10298,2636354,3818048,4341760,4194432,32774,8390258,422484,Chat
69,0,0,78,24,132,0,0,128,17,54,47,17664,0,78,19992,6276,33792,0,128,32785,4406,13871,4521984,78,19992,5118084,1606656,8650752,128,32785,8393014,1127983,69,0,0,78,24,133,0,0,128,17,54,46,17664,0,78,19992,6277,34048,0,128,32785,4406,13870,4521984,78,19992,5118085,1606912,8716288,128,32785,8393014,1127982,69,0,0,78,24,134,0,0,128,17,54,45,17664,0,78,19992,6278,34304,0,128,32785,4406,13869,4521984,78,19992,5118086,1607168,8781824,128,32785,8393014,1127981,69,0,0,78,24,141,0,0,128,17,54,38,17664,0,78,19992,6285,36096,0,128,32785,4406,13862,4521984,78,19992,5118093,1608960,9240576,128,32785,8393014,1127974,69,0,0,78,24,142,0,0,128,17,54,37,17664,0,78,19992,6286,36352,0,128,32785,4406,13861,4521984,78,19992,5118094,1609216,9306112,128,32785,8393014,1127973,Chat
69,0,0,52,13,52,64,0,128,6,239,137,17664,0,52,13325,3380,13376,16384,128,32774,1775,61321,4521984,52,13325,3411252,865344,3424256,4194432,32774,8390383,454537,69,0,0,40,13,53,64,0,128,6,239,148,17664,0,40,10253,3381,13632,16384,128,32774,1775,61332,4521984,40,10253,2624821,865600,3489792,4194432,32774,8390383,454548,69,0,0,42,13,54,64,0,128,6,239,145,17664,0,42,10765,3382,13888,16384,128,32774,1775,61329,4521984,42,10765,2755894,865856,3555328,4194432,32774,8390383,454545,69,0,0,40,13,55,64,0,128,6,239,146,17664,0,40,10253,3383,14144,16384,128,32774,1775,61330,4521984,40,10253,2624823,866112,3620864,4194432,32774,8390383,454546,69,0,0,40,13,56,64,0,128,6,239,145,17664,0,40,10253,3384,14400,16384,128,32774,1775,61329,4521984,40,10253,2624824,866368,3686400,4194432,32774,8390383,454545,Chat
69,0,0,46,2,62,64,0,128,6,41,29,17664,0,46,11778,574,15936,16384,128,32774,1577,10525,4521984,46,11778,3015230,147008,4079616,4194432,32774,8390185,403741,69,0,0,46,2,64,64,0,128,6,41,27,17664,0,46,11778,576,16448,16384,128,32774,1577,10523,4521984,46,11778,3015232,147520,4210688,4194432,32774,8390185,403739,69,0,0,46,2,66,64,0,128,6,41,25,17664,0,46,11778,578,16960,16384,128,32774,1577,10521,4521984,46,11778,3015234,148032,4341760,4194432,32774,8390185,403737,69,0,0,86,2,68,64,0,128,6,40,239,17664,0,86,22018,580,17472,16384,128,32774,1576,10479,4521984,86,22018,5636676,148544,4472832,4194432,32774,8390184,403695,69,0,0,40,2,69,64,0,128,6,41,28,17664,0,40,10242,581,17728,16384,128,32774,1577,10524,4521984,40,10242,2622021,148800,4538368,4194432,32774,8390185,403740,Chat
69,0,0,40,182,53,64,0,101,6,144,43,17664,0,40,10422,46645,13632,16384,101,25862,1680,36907,4521984,40,10422,2668085,11941184,3489792,4194405,25862,6620816,430123,69,0,0,40,2,145,64,0,101,6,67,208,17664,0,40,10242,657,37184,16384,101,25862,1603,17360,4521984,40,10242,2622097,168256,9519104,4194405,25862,6620739,410576,69,0,0,40,118,116,64,0,101,6,207,236,17664,0,40,10358,30324,29760,16384,101,25862,1743,53228,4521984,40,10358,2651764,7763008,7618560,4194405,25862,6620879,446444,69,0,0,40,195,105,64,0,101,6,130,247,17664,0,40,10435,50025,26944,16384,101,25862,1666,33527,4521984,40,10435,2671465,12806464,6897664,4194405,25862,6620802,426743,69,0,0,177,195,106,64,0,101,6,130,109,17664,0,177,45507,50026,27200,16384,101,25862,1666,33389,4521984,177,45507,11649898,12806720,6963200,4194405,25862,6620802,426605,Chat
